name,price,original_price,discount,rating,review_count,sales_count,inventory_status,brand_name,seller_name,categories,short_description,link
"Nồi cơm điện tử Cuckoo 1.08L CR-0690F nhiều chế độ nấu, lòng nồi chống dính, thiết kế sang trọng - Hàng chính hãng",1970000,2190000,10,5.0,2,4,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/noi-com-dien-tu-cuckoo-1-08l-cr-0690f-nhieu-che-do-nau-long-noi-chong-dinh-thiet-ke-sang-trong-hang-chinh-hang-p192705726.html?spid=270991370
Nồi cơm điện tử Cuckoo CR-1020F/BKWHVNCV 1.8 lít - Hàng chính hãng,1750000,2350000,26,4.0,1,1,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/noi-com-dien-tu-cuckoo-cr-1020f-bkwhvncv-1-8-lit-hang-chinh-hang-p275965151.html?spid=275965152
Nồi cơm điện tử Tefal RK733168 - Hàng chính hãng,901000,1699000,47,3.7,3,19,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/noi-com-dien-tu-tefal-rk733168-hang-chinh-hang-p80022729.html?spid=274679933
Nồi Cơm Điện Tử Toshiba RC-10NMFVN (WT) (1 Lít) - Hàng Chính Hãng,1890000,2550000,26,4.8,178,7698,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/noi-com-dien-tu-toshiba-rc-10nmfvn-wt-1-lit-hang-chinh-hang-p103692716.html?spid=71432
Nồi cơm điện tử Tefal 1.8L - Thương hiệu Pháp - RK732168- Hàng chính hãng,629000,1258000,50,4.8,34,209,N/A,N/A,Nguyễn Kim Official,,N/A,https://tiki.vn/noi-com-dien-tu-tefal-rk732168-1-8l-750w-hang-chinh-hang-p55727602.html?spid=131192618
Nồi Cơm Điện Tử Cuckoo CR-0690F/BKBKCRVNCV 1.08L - Hàng chính hãng,1499000,2190000,32,0.0,0,1,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/noi-com-dien-tu-cuckoo-cr-0690f-bkbkcrvncv-1-08l-hang-chinh-hang-p275965051.html?spid=275965052
"Nồi cơm điện nắp gài Sharp KS-18TJV 1,8L - Hàng Chính Hãng",562000,680000,17,4.0,21,68,N/A,N/A,Công ty Kỷ Nguyên,,N/A,https://tiki.vn/noi-com-dien-nap-gai-sharp-ks-18tjv-1-8l-hang-chinh-hang-p37941179.html?spid=58172119
Nồi Cơm Điện Tử Toshiba RC-10DH2PV(W) - Hàng chính hãng,990000,1720000,42,5.0,2,6,N/A,N/A,Nguyễn Kim Official,,N/A,https://tiki.vn/noi-com-dien-tu-toshiba-rc-10dh2pv-w-hang-chinh-hang-p55583867.html?spid=131192671
Nồi cơm điện Mini Cuckoo 0.36L CR-0255MW - Lòng nồi chống dính- Hàng chính hãng,1460000,1550000,6,1.0,1,4,N/A,N/A,CUCKOO Official Store,,N/A,https://tiki.vn/noi-com-dien-mini-cuckoo-0-36l-cr-0255mw-long-noi-chong-dinh-hang-chinh-hang-p275314625.html?spid=275314626
"Nồi cơm điện áp suất Cuckoo CRP-PK1000S 1,8 lít nhiều màu - Hàng chính hãng",3490000,5460000,36,5.0,3,6,N/A,N/A,Nguyễn Kim Official,,N/A,https://tiki.vn/noi-com-dien-ap-suat-cuckoo-crp-pk1000s-1-8-lit-nhieu-mau-hang-chinh-hang-p91978576.html?spid=131192952
Nồi Cơm Điện SHARP KS-1800T 1.8L -  Thái Lan (Hàng chính hãng),1350000,1350000,0,0.0,0,1,N/A,N/A,elecvina,,N/A,https://tiki.vn/noi-com-dien-sharp-ks-1800t-1-8l-thai-lan-hang-chinh-hang-p274613560.html?spid=274613561
Nồi cơm điện tử Tefal RK808168,2590000,2690000,4,0.0,0,0,N/A,N/A,Telovietnam,,N/A,https://tiki.vn/noi-com-dien-tu-tefal-rk808168-p74882385.html?spid=215242410
Nồi cơm điện tử cao tần Tefal RK818A68 - 1.8L - Thương hiệu Pháp - Hàng chính hãng,2125000,3499000,39,5.0,4,16,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/noi-com-dien-tu-cao-tan-tefal-rk818a68-1-8l-thuong-hieu-phap-hang-chinh-hang-p198944761.html?spid=274679946
Nồi cơm điện tử Toshiba RC-10DH2PV(W) - Dung tích 1.0 Lít  - Nồi giữ ấm 12 tiếng - Hàng chính hãng,1099000,1720000,36,0.0,0,1,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/noi-com-dien-tu-toshiba-rc-10dh2pv-w-dung-tich-1-0-lit-noi-giu-am-12-tieng-hang-chinh-hang-p200969364.html?spid=275739819
Nồi Cơm Điện Tử TOSHIBA RC-10NMF (WT) (1 Lít) Thái Lan - Hàng nhập khẩu,1999000,1999000,0,5.0,8,37,N/A,N/A,dienmaycuongviet,,N/A,https://tiki.vn/noi-com-dien-tu-toshiba-rc-10nmf-wt-1-lit-thai-lan-hang-nhap-khau-p124037732.html?spid=271266373
Nồi cơm điện Mishio - Hàng chính hãng,299000,299000,0,4.5,34,162,N/A,N/A,Mishio Kachi Official,,N/A,https://tiki.vn/noi-com-dien-mishio-hang-chinh-hang-p145802200.html?spid=145802453
Nồi cơm điện Cuckoo CR-1021R,2040000,2310000,12,4.7,22,105,N/A,N/A,CUCKOO Official Store,,N/A,https://tiki.vn/noi-com-dien-cuckoo-cr-1021-hang-chinh-hang-p127502022.html?spid=48188114
Nồi cơm điện cơ Tefal 1.5L - Thương hiệu Pháp - RK361168 - Hàng chính hãng,870000,870000,0,0.0,0,0,N/A,N/A,Yes1 Store,,N/A,https://tiki.vn/noi-com-dien-co-tefal-1-5l-thuong-hieu-phap-rk361168-hang-chinh-hang-p94348670.html?spid=192129783
"Nồi cơm điện Cuckoo 1.8L CR-1005 lòng nồi chống dính, 1 nút ấn dễ dàng điều khiển - Hàng chính hãng Cuckoo Vina",710000,990000,28,4.8,5,29,N/A,N/A,CUCKOO Official Store,,N/A,https://tiki.vn/noi-com-dien-cuckoo-1-8l-cr-1005-long-noi-chong-dinh-1-nut-an-de-dang-dieu-khien-bao-hanh-2-nam-hang-chinh-hang-cuckoo-vina-p192150893.html?spid=192150894
Nồi cơm điện tử Tefal RK362568,950000,950000,0,0.0,0,0,N/A,N/A,Yes1 Store,,N/A,https://tiki.vn/noi-com-co-dien-tefal-rk362568-dung-tich-2-0l-cong-suat-700w-4-lop-ben-bi-hang-chinh-hang-p74884006.html?spid=160570817
"Nồi cơm điện Cuckoo 1,08 lít CR-0671- màu vàng- bản Quốc tế - Hàng chính hãng Cuckoovina",910000,1180000,23,5.0,1,3,N/A,N/A,CUCKOO Official Store,,N/A,https://tiki.vn/noi-com-dien-cuckoo-1-08-lit-cr-0671-mau-vang-ban-quoc-te-hang-chinh-hang-cuckoovina-p273745411.html?spid=273745412
Nồi cơm điện Cuckoo CR1021 - Hàng chính hãng,1699000,1699000,0,0.0,0,1,N/A,N/A,Điện gia dụng Khánh Kim,,N/A,https://tiki.vn/noi-com-dien-cuckoo-cr1021-p152200236.html?spid=196849075
Nồi cơm điện Toshiba RC-10JFM(H)VN- Hàng chính hãng,559000,559000,0,0.0,0,33,N/A,N/A,Điện Máy Vạn Kim Tín,,N/A,https://tiki.vn/noi-com-dien-toshiba-rc-10jfm-h-vn-hang-chinh-hang-p200721501.html?spid=200721502
Nồi cơm điện Toshiba RC-18JFM(H)VN - Hàng chính hãng,649000,649000,0,5.0,1,4,N/A,N/A,Điện gia dụng Khánh Kim,,N/A,https://tiki.vn/noi-com-dien-toshiba-rc-18jfm-h-vn-hang-chinh-hang-p201600396.html?spid=241818582
Nồi cơm điện Cuckoo CR-0661G - HÀNG CHÍNH HÃNG,1499000,1499000,0,0.0,0,0,N/A,N/A,Điện gia dụng Khánh Kim,,N/A,https://tiki.vn/noi-com-dien-cuckoo-cr-0661g-hang-chinh-hang-p48165321.html?spid=107991954
Nồi Cơm Điện Cuckoo CR-0331 - Hàng Chính Hãng,1415000,1425000,1,0.0,0,0,N/A,N/A,Công ty cổ phần Thắng Nây An,,N/A,https://tiki.vn/noi-com-dien-cuckoo-cr-0331-hang-chinh-hang-p374080.html?spid=20744626
Nồi cơm điện tử Tefal 1.8 lít RK733168 / Nồi cơm điện tử Tefal 1.8 lít RK736B68  - Hàng chính hãng,1109000,1699000,35,0.0,0,0,N/A,N/A,Edistributor,,N/A,https://tiki.vn/noi-com-dien-tu-tefal-1-8-lit-rk733168-noi-com-dien-tu-tefal-1-8-lit-rk736b68-hang-chinh-hang-p274566340.html?spid=274566342
Nồi cơm điện Toshiba RC-10NMFVN(WT)- Hàng chính hãng,1950000,1950000,0,0.0,0,0,N/A,N/A,Điện Máy Vạn Kim Tín,,N/A,https://tiki.vn/noi-com-dien-toshiba-rc-10nmfvn-wt-p203293287.html?spid=203293288
"Nồi cơm điện tử Cuckoo 1,8L CR-1020F- màu trắng - Bảng điều khiển LED - Lòng nồi chống dính - Chất lượng Hàn Quốc - Hàng chính hãng Cuckoovina",1780000,2350000,24,0.0,0,1,N/A,N/A,CUCKOO Official Store,,N/A,https://tiki.vn/noi-com-dien-tu-cuckoo-1-8l-cr-1020f-mau-trang-bang-dieu-khien-led-long-noi-chong-dinh-chat-luong-han-quoc-hang-chinh-hang-cuckoovina-p273190739.html?spid=273190740
Nồi cơm điện Cuckoo CR-0661O - HÀNG CHÍNH HÃNG,1590000,2220000,28,5.0,1,1,N/A,N/A,Nguyễn Kim Official,,N/A,https://tiki.vn/noi-com-dien-cuckoo-cr-0661o-hang-chinh-hang-p48165408.html?spid=165805004
Nồi cơm điện tử Tefal RK752168 1.8L 750W,1929000,1929000,0,0.0,0,0,N/A,N/A,Điện Máy Sao Kim,,N/A,https://tiki.vn/noi-com-dien-tu-tefal-rk752168-1-8l-750w-cong-nghe-fuzzy-logic-long-noi-nieu-day-2mm-voi-6-lop-tich-hop-ung-dung-vong-nghe-dien-tu-ih-hang-chinh-hang-p79856785.html?spid=166293921
Nồi Cơm Điện Lock&Lock EJR716IVY 0.8L - Hàng Chính Hãng,798870,1703000,53,4.6,714,2849,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/noi-com-dien-lock-lock-ejr716ivy-0-8l-hang-chinh-hang-p79410098.html?spid=79410099
Nồi cơm điện Cuckoo CRP-JHTS1060FS - HÀNG CHÍNH HÃNG,13999000,13999000,0,5.0,1,3,N/A,N/A,Cuckoo Vietnam,,N/A,https://tiki.vn/noi-com-dien-cuckoo-crp-jhts1060fs-hang-chinh-hang-p48342298.html?spid=72586030
Nồi cơm điện Cuckoo CRP -LHTR1010FW - HÀNG CHÍNH HÃNG,11499000,11499000,0,0.0,0,1,N/A,N/A,Cuckoo Vietnam,,N/A,https://tiki.vn/noi-com-dien-cuckoo-crp-lhtr1010fw-hang-chinh-hang-p48342250.html?spid=107671248
Nồi Cơm Điện Mini Lock&Lock EJR426 Dung Tích 0.8 lít (Hàng chính hãng),557000,1000000,44,4.8,296,1551,N/A,N/A,Điện Máy Vymart,,N/A,https://tiki.vn/noi-com-dien-mini-lock-lock-ejr426-dung-tich-0-8-lit-hang-chinh-hang-p68771348.html?spid=112087502
Nồi cơm điện TOSHIBA RC-18NMF-WT Thái Lan Hàng nhập khẩu,2250000,2250000,0,4.8,13,37,N/A,N/A,elecvina,,N/A,https://tiki.vn/noi-com-dien-toshiba-rc-18nmf-wt-thai-lan-hang-nhap-khau-p124015743.html?spid=124015744
Nồi cơm điện Cuckoo 0.5L CR-0331 - Lòng nồi chống dính - Hàng chính hãng,1490000,2010000,26,0.0,0,3,N/A,N/A,CUCKOO Official Store,,N/A,https://tiki.vn/noi-com-dien-cuckoo-0-5l-cr-0331-long-noi-chong-dinh-hang-chinh-hang-p171661322.html?spid=171661323
Nồi cơm điện Cuckoo CR-1713R - HÀNG CHÍNH HÃNG,2099000,2099000,0,0.0,0,0,N/A,N/A,Điện gia dụng Khánh Kim,,N/A,https://tiki.vn/noi-com-dien-cuckoo-cr-1713r-hang-chinh-hang-p48188170.html?spid=107991948
